Marca,Região do Brasil,Tipo de Torra,Tipo de Preparo,Avaliação do Consumidor
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.6
Café Gourmet,Sul,Média,Espresso Martini,4.4
Café Delícia,Nordeste,Escura,Prensa Francesa,4.8
Café Suave,Sudeste,Clara,Coado,4.6
Café Aveludado,Sul,Média,Moka,4.4
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.3
Café do Cerrado,Sul,Média,Espresso Martini,4.9
Café Suave,Nordeste,Escura,Prensa Francesa,4.7
Café Aromático,Sudeste,Clara,Coado,4.5
Café Tradicional,Sul,Média,Moka,4.1
Café Premium,Nordeste,Escura,Expresso,4.8
Café Saboroso,Sudeste,Clara,Filtro,4.6
Café Delícia,Sul,Média,Cafeteira Italiana,4.4
Café Suave,Nordeste,Escura,Espresso Martini,4.9
Café Puro,Sudeste,Clara,Prensa Francesa,4.7
Café Aveludado,Nordeste,Média,Coado,4.6
Café Intenso,Sudeste,Escura,Moka,4.4
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.3
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.8
Café Tradicional,Sudeste,Clara,Espresso Martini,4.6
Café Premium,Sul,Média,Prensa Francesa,4.5
Café Saboroso,Nordeste,Escura,Coado,4.1
Café Puro,Sudeste,Clara,Moka,4.9
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.6
Café Intenso,Sudeste,Clara,Espresso Martini,4.4
Café Brasileiro,Sul,Média,Prensa Francesa,4.8
Café do Cerrado,Nordeste,Escura,Coado,4.6
Café Suave,Sudeste,Clara,Moka,4.4
Café Aromático,Sul,Média,Expresso,4.7
Café Puro,Nordeste,Escura,Filtro,4.3
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.3
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.5
Café Suave,Sul,Média,Expresso,4.1
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.9
Café Intenso,Sudeste,Clara,Espresso Martini,4.7
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.4
Café Suave,Sudeste,Clara,Moka,4.3
Café Aromático,Sul,Média,Expresso,4.8
Café Puro,Nordeste,Escura,Filtro,4.6
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.5
Café Gourmet,Sul,Média,Espresso Martini,4.1
Café Delícia,Nordeste,Escura,Prensa Francesa,4.9
Café Suave,Sudeste,Clara,Coado,4.7
Café Aveludado,Sul,Média,Moka,4.6
Café Intenso,Nordeste,Escura,Expresso,4.4
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.3
Café do Cerrado,Sul,Média,Espresso Martini,4.8
Café Suave,Nordeste,Escura,Prensa Francesa,4.6
Café Aromático,Sudeste,Clara,Coado,4.5
Café Tradicional,Sul,Média,Moka,4.1
Café Premium,Nordeste,Escura,Expresso,4.9
Café Saboroso,Sudeste,Clara,Filtro,4.7
Café Delícia,Sul,Média,Cafeteira Italiana,4.6
Café Suave,Nordeste,Escura,Espresso Martini,4.4
Café Puro,Sudeste,Clara,Prensa Francesa,4.8
Café Aveludado,Nordeste,Média,Coado,4.6
Café Intenso,Sudeste,Escura,Moka,4.4
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.9
Café do Cerrado,Sul,Média,Filtro,4.7
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.6
Café Tradicional,Sudeste,Clara,Espresso Martini,4.4
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.6
Café Gourmet,Sul,Média,Espresso Martini,4.4
Café Delícia,Nordeste,Escura,Prensa Francesa,4.8
Café Suave,Sudeste,Clara,Coado,4.6
Café Aveludado,Sul,Média,Moka,4.4
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.3
Café do Cerrado,Sul,Média,Espresso Martini,4.9
Café Suave,Nordeste,Escura,Prensa Francesa,4.7
Café Aromático,Sudeste,Clara,Coado,4.5
Café Tradicional,Sul,Média,Moka,4.1
Café Premium,Nordeste,Escura,Expresso,4.8
Café Saboroso,Sudeste,Clara,Filtro,4.6
Café Delícia,Sul,Média,Cafeteira Italiana,4.4
Café Suave,Nordeste,Escura,Espresso Martini,4.9
Café Puro,Sudeste,Clara,Prensa Francesa,4.7
Café Aveludado,Nordeste,Média,Coado,4.6
Café Intenso,Sudeste,Escura,Moka,4.4
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.3
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.8
Café Tradicional,Sudeste,Clara,Espresso Martini,4.6
Café Premium,Sul,Média,Prensa Francesa,4.5
Café Saboroso,Nordeste,Escura,Coado,4.1
Café Puro,Sudeste,Clara,Moka,4.9
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.6
Café Intenso,Sudeste,Clara,Espresso Martini,4.4
Café Brasileiro,Sul,Média,Prensa Francesa,4.8
Café do Cerrado,Nordeste,Escura,Coado,4.6
Café Suave,Sudeste,Clara,Moka,4.4
Café Aromático,Sul,Média,Expresso,4.7
Café Puro,Nordeste,Escura,Filtro,4.3
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.6
Café Gourmet,Sul,Média,Espresso Martini,4.4
Café Delícia,Nordeste,Escura,Prensa Francesa,4.8
Café Suave,Sudeste,Clara,Coado,4.6
Café Aveludado,Sul,Média,Moka,4.4
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.3
Café do Cerrado,Sul,Média,Espresso Martini,4.9
Café Suave,Nordeste,Escura,Prensa Francesa,4.7
Café Aromático,Sudeste,Clara,Coado,4.5
Café Tradicional,Sul,Média,Moka,4.1
Café Premium,Nordeste,Escura,Expresso,4.8
Café Saboroso,Sudeste,Clara,Filtro,4.6
Café Delícia,Sul,Média,Cafeteira Italiana,4.4
Café Suave,Nordeste,Escura,Espresso Martini,4.9
Café Puro,Sudeste,Clara,Prensa Francesa,4.7
Café Aveludado,Nordeste,Média,Coado,4.6
Café Intenso,Sudeste,Escura,Moka,4.4
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.3
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.8
Café Tradicional,Sudeste,Clara,Espresso Martini,4.6
Café Premium,Sul,Média,Prensa Francesa,4.5
Café Saboroso,Nordeste,Escura,Coado,4.1
Café Puro,Sudeste,Clara,Moka,4.9
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.6
Café Intenso,Sudeste,Clara,Espresso Martini,4.4
Café Brasileiro,Sul,Média,Prensa Francesa,4.8
Café do Cerrado,Nordeste,Escura,Coado,4.6
Café Suave,Sudeste,Clara,Moka,4.4
Café Aromático,Sul,Média,Expresso,4.7
Café Puro,Nordeste,Escura,Filtro,4.3
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
Café Saboroso,Nordeste,Escura,Coado,4.6
Café Puro,Sudeste,Clara,Moka,4.4
Café Suave,Sul,Média,Expresso,4.7
Café Aveludado,Nordeste,Escura,Cafeteira Italiana,4.3
Café Intenso,Sudeste,Clara,Espresso Martini,4.8
Café Brasileiro,Sul,Média,Prensa Francesa,4.6
Café do Cerrado,Nordeste,Escura,Coado,4.5
Café Suave,Sudeste,Clara,Moka,4.1
Café Aromático,Sul,Média,Expresso,4.9
Café Puro,Nordeste,Escura,Filtro,4.7
Café Tradicional,Sudeste,Clara,Cafeteira Italiana,4.8
Café Gourmet,Sul,Média,Espresso Martini,4.6
Café Delícia,Nordeste,Escura,Prensa Francesa,4.5
Café Suave,Sudeste,Clara,Coado,4.1
Café Aveludado,Sul,Média,Moka,4.9
Café Intenso,Nordeste,Escura,Expresso,4.7
Café Brasileiro,Sudeste,Clara,Cafeteira Italiana,4.6
Café do Cerrado,Sul,Média,Espresso Martini,4.4
Café Suave,Nordeste,Escura,Prensa Francesa,4.8
Café Aromático,Sudeste,Clara,Coado,4.6
Café Tradicional,Sul,Média,Moka,4.4
Café Premium,Nordeste,Escura,Expresso,4.7
Café Saboroso,Sudeste,Clara,Filtro,4.3
Café Delícia,Sul,Média,Cafeteira Italiana,4.8
Café Suave,Nordeste,Escura,Espresso Martini,4.6
Café Puro,Sudeste,Clara,Prensa Francesa,4.5
Café Aveludado,Nordeste,Média,Coado,4.1
Café Intenso,Sudeste,Escura,Moka,4.9
Café Brasileiro,Centro-Oeste,Clara,Expresso,4.7
Café do Cerrado,Sul,Média,Filtro,4.6
Café Suave,Nordeste,Escura,Cafeteira Italiana,4.4
Café Tradicional,Sudeste,Clara,Espresso Martini,4.2
Café Premium,Sul,Média,Prensa Francesa,4.8
